1899.52271803	[ 3.22431456  5.15268184]
1899.62248056	[ 3.38553029  5.15268184]
1899.57053931	[ 3.22431456  5.41031593]
1899.65660784	[ 3.06309883  5.41031593]
1899.57732639	[ 3.30492242  5.21709036]
1899.58425891	[ 3.14370669  5.34590741]
1899.55080255	[ 3.26461849  5.24929462]
1899.55234483	[ 3.26461849  4.99166053]
1899.52780795	[ 3.25454251  5.09632438]
1899.55792802	[ 3.21423857  4.9997116 ]
1899.53127417	[ 3.25202351  5.18689887]
1899.52962986	[ 3.22683355  5.06210735]
1899.52509312	[ 3.23313104  5.09330523]
1899.52515733	[ 3.20290309  5.14966269]
1899.52351568	[ 3.21581295  5.13632811]
1899.52361299	[ 3.20699646  5.19570472]
1899.52293221	[ 3.21353011  5.17010485]
1899.52359135	[ 3.22203172  5.18645857]
1899.52295553	[ 3.21736764  5.14886073]
1899.52307716	[ 3.22047702  5.17392596]
1899.5228756	[ 3.21814499  5.15512704]
1899.52298437	[ 3.22892944  5.13770403]
1899.52288057	[ 3.21737994  5.16200464]
1899.52278843	[ 3.2250796   5.14580423]
1899.52305401	[ 3.23124918  5.14335904]
1899.52276952	[ 3.22142103  5.15218504]
1899.5227841	[ 3.22065599  5.15906264]
1899.52274461	[ 3.22176189  5.15574804]
